,daily_return,total assets
0,0.0,100000.0
1,-0.05258256241230119,94741.74375876988
2,-0.033006785941768146,91614.62330277431
3,0.6609801490808094,152170.07067142427
4,0.02431543883094544,155870.15271673593
5,-0.024721862674415757,152016.75220623257
6,-0.032767806941702136,147035.49661803417
7,-0.6049900077729476,58080.49037619046
8,-0.0029635545291185894,57908.36567588267
9,-0.007218444444300441,57490.357355391076
10,0.005425509848047276,57802.27185539051
11,-0.03432674860709399,55818.10780049161
12,-0.02980737174467645,54154.316711197935
13,0.12080541194171839,60696.451249916485
14,0.05033222478076358,63751.43867762194
15,0.0075523264809543795,64232.91035614588
16,-0.32607193702712595,43288.36085542766
17,-0.017915153480211318,42512.8432267959
18,0.12515220673958502,47833.419371403426
19,0.011522198246826012,48384.565512224304
20,-0.017328245572341326,47546.145879117445
21,0.03832138510818861,49368.18004576122
22,-0.03851976277750212,47466.52946164148
23,-0.0701093139650941,44138.68364478187
24,0.052625058578001406,46461.48445714439
25,-0.004021661134072588,46274.632110871775
26,-0.0010181030608773052,46227.519766278725
27,-0.0011501563933489457,46174.350888870875
28,0.05462411795363027,48696.58407825687
29,-0.015506611468200666,47941.465069126774
30,-0.015637967022110684,47191.7580193841
31,0.6149233783177619,76211.0732894181
32,0.018225143769912876,77600.03105697711
33,-0.012275522930618905,76647.45009632045
34,0.019250566432000626,78122.95692624312
35,0.019935114716416003,79680.3470345534
36,-0.014205160890291254,78548.47488513333
37,0.03211679584384611,81071.20021686463
38,-0.031469208058544536,78519.9537496842
39,0.04978472100822327,82429.04774069082
40,-0.016739759466884063,81049.20530842735
41,-0.010743538744130244,80178.4500310153
42,0.3037613936009317,104533.56774919917
43,-0.04408531794915896,99925.17217861577
44,0.03924792623702676,103847.02796550428
45,-0.13144265848096767,90197.098534371
46,-0.004186266197812561,89819.5094696358
47,0.04213646481549119,93604.18607014779
48,0.004418580190538697,94017.78367246884
49,-0.008825124445024523,93188.0650315139
50,0.00450578873086334,93607.95076478386
51,-0.04414354910500552,89475.76359357969
52,-0.5338865876832339,41705.8534882517
53,0.02156560556942931,42605.26547451574
54,-0.05766801393182322,40148.30443156234
55,0.4457153476226163,58043.019897734775
56,0.034350118111878956,60036.804486792105
57,0.013591723715440207,60852.808146134485
58,0.0013586658176371993,60935.48677646987
59,0.02091581042426554,62210.001865996855
60,-0.06947014393305882,57888.264082290196
61,0.012008386739477727,58583.408745067354
62,-0.008662209166007143,58075.94700485989
63,-0.04899516612133367,55230.50633370301
64,-0.05450589412348022,52220.11820309199
65,0.04044169126654659,54331.988101364004
66,0.04542528117458165,56800.03393764249
67,-0.00365753255885006,56592.28596417177
68,-0.05963306564025331,53217.51446053833
69,8.987894364727598,531530.9127852203
70,0.01847319755777596,541349.9883451667
71,0.004873974544030935,543988.5144077725
72,0.016013630441250818,552699.7454417836
73,0.004734166394900868,555316.3180031243
74,-0.015705355670034702,546594.8777195112
75,0.06113496616539167,580010.9370750699
76,0.011129202101944959,586465.9960151168
77,0.002612002926137942,587997.8469127887
78,0.001260385484776817,588738.9508641176
79,0.004674034902208171,591490.7372687459
80,-0.01612689999840647,581951.8252988291
81,0.006848767903998183,585937.4782816089
82,-0.005228548781679025,582873.8755933995
83,-0.0018860521758900007,581774.5450520671
84,-0.018270193169675212,571145.411732766
85,-0.013184760450509767,563614.9962966617
86,0.008306179900848656,568296.4838507179
87,0.008051023650453364,572871.8522826695
88,0.010673058828105923,578986.1472630484
89,0.014396722652099568,587321.6502446022
90,-0.019050960687423676,576132.6085749195
91,0.0009231368230991871,576664.4578008832
92,0.010967303453789774,582988.9119006007
93,-0.0038343012564135016,580753.556783225
94,0.01409250638063003,588937.8299877662
95,-0.01178159347494057,581999.2038928367
96,0.014388140683419181,590373.0903160848
97,0.006260725196034343,594069.2539976874
98,-0.033136696303061985,574383.7615449794
99,0.0005357879716586379,574691.5094555313
100,0.0323595788391403,593288.2846639421
101,-0.004979200983281931,590334.1830535737
102,0.005340253001220397,593486.7169463485
103,-0.0344647146136043,573032.3666198277
104,-0.019035369320154434,562124.4838888171
105,0.01360035612518698,569769.577056392
106,-0.011661678198681106,563125.1076013617
107,-0.018862851403839136,552502.9623749063
108,0.02548528703852016,566583.6589606635
109,0.005754350178014101,569843.9797394637
110,0.006733801097669963,573681.1957557339
111,0.0587427272395058,607380.7937604465
112,8.5507475413541e-06,607385.9873202754
113,-0.00540354937524408,604103.9471479589
114,0.01673793054822767,614215.3970592316
115,-0.012266107336946953,606681.3650708976
116,0.001084465968491068,607339.2903650347
117,-0.0033463156409667197,605306.9413983126
118,-0.014789496177697252,596354.7567021686
119,-0.011812126141568678,589310.5390908781
120,-0.004920541677895229,586410.8120220585
121,0.04653538857327413,613699.6670230742
122,0.0030379512545688036,615564.0566964354
123,0.00822721801707574,620628.4363943526
124,-0.003888171624889751,618215.3265183644
125,-0.013152817389026907,610084.0532215707
126,-0.023053815055828437,596019.2882900904
127,-0.017189382118833665,585774.0849934767
128,0.020754387889193513,597931.4675688688
129,0.20095391387206835,718088.1362041027
130,-0.003538690204099972,715547.0447508368
131,0.03643553643839966,741618.3851732451
132,0.007168728353082527,746934.8459182038
133,0.001326342090661327,747925.5370433268
134,0.006260361131983317,752607.8210050506
135,0.006282116092074675,757335.7907084076
136,-0.018419544802755823,743386.0101807236
137,0.009184348013220222,750213.5260063827
138,0.00014023871350176737,750318.7349861214
139,-0.02292205800897668,733119.8854175475
140,0.0394449903765876,762037.7922427277
141,0.018296611269987786,775980.5015004326
142,-0.002137668854594241,774321.7121506027
